X,Y,OBJECTID,FileNumber,OccuranceYear,ReportedDate,ReportedTime,ReportedWeekday,Offense,OffenseCategory,HouseNumber,StreetName,City,ReportedDateText,ReportedTimeText,Lat,Lon
527350,5451580,1134624,2018-18345,2018,2018-08-07T00:00:00.000Z,2018-08-07T23:56:00.000Z,Tuesday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,215XX,MAYO PL,MAPLE RIDGE,"Aug 07, 2018",11:56 pm,49.2165073,-122.6249122
532670,5448300,1134625,2018-18399,2018,2018-08-08T00:00:00.000Z,2018-08-08T16:26:00.000Z,Wednesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,242XX,101A AVE,MAPLE RIDGE,"Aug 08, 2018",4:26 pm,49.1866856,-122.5484649
524550,5451570,1134626,2018-18409,2018,2018-08-08T00:00:00.000Z,2018-08-08T17:49:00.000Z,Wednesday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,201XX,ASHLEY CRES,MAPLE RIDGE,"Aug 08, 2018",5:49 pm,49.2169384,-122.6598002
524790,5451930,1134628,2018-18420,2018,2018-08-08T00:00:00.000Z,2018-08-08T19:44:00.000Z,Wednesday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,203XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 08, 2018",7:44 pm,49.1992265,-122.5775593
528710,5452600,1134629,2018-18428,2018,2018-08-08T00:00:00.000Z,2018-08-08T21:00:00.000Z,Friday,THEFT OF AUTO UNDER $5000,AUTO THEFT,122XX,HILLSIDE ST,MAPLE RIDGE,"Aug 08, 2018",9:00 pm,49.2250084,-122.6056684
527130,5452430,1134633,2018-18508,2018,2018-08-09T00:00:00.000Z,2018-08-09T12:32:00.000Z,Thursday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,121XX,CRESTON ST,MAPLE RIDGE,"Aug 09, 2018",12:32 pm,49.2247206,-122.6274154
524990,5451870,1134634,2018-18519,2018,2018-08-09T00:00:00.000Z,2018-08-09T14:00:00.000Z,Thursday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,203XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 09, 2018",2:00 pm,49.1992265,-122.5775593
524820,5452580,1134635,2018-18523,2018,2018-08-09T00:00:00.000Z,2018-08-09T14:18:00.000Z,Thursday,THEFT OF TRUCK UNDER $5000,AUTO THEFT,202XX,TELEP AVE,MAPLE RIDGE,"Aug 09, 2018",2:18 pm,49.2254683,-122.6613048
524820,5451730,1134637,2018-18532,2018,2018-08-09T00:00:00.000Z,2018-08-09T15:22:00.000Z,Thursday,THEFT OF TRUCK UNDER $5000,AUTO THEFT,202XX,PATTERSON AVE,MAPLE RIDGE,"Aug 09, 2018",3:22 pm,49.2178107,-122.6582624
528330,5452040,1134639,2018-18557,2018,2018-08-09T00:00:00.000Z,2018-08-09T18:28:00.000Z,Thursday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,220XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 09, 2018",6:28 pm,49.2199546,-122.4428793
528750,5452040,1134641,2018-18561,2018,2018-08-09T00:00:00.000Z,2018-08-09T18:54:00.000Z,Thursday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,222XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 09, 2018",6:54 pm,49.2199546,-122.4428793
523260,5449990,1134642,2018-18578,2018,2018-08-09T00:00:00.000Z,2018-08-09T21:36:00.000Z,Thursday,THEFT FROM MV UNDER $5000,THEFT FROM VEHICLE,109XX,BARNSTON VIEW RD,PITT MEADOWS,"Aug 09, 2018",9:36 pm,49.2036982,-122.6816178
532200,5452050,1134643,2018-18583,2018,2018-08-09T00:00:00.000Z,2018-08-09T22:46:00.000Z,Thursday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,239XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 09, 2018",10:46 pm,49.2199546,-122.4428793
530280,5453000,1134647,2018-18613,2018,2018-08-10T00:00:00.000Z,2018-08-10T08:25:00.000Z,Tuesday,BREAK & ENTER-RESIDENCE,BREAK & ENTER - RES,230XX,124B AVE,MAPLE RIDGE,"Aug 10, 2018",8:25 am,49.2284703,-122.4721854
528930,5451270,1134648,2018-18614,2018,2018-08-10T00:00:00.000Z,2018-08-10T08:28:00.000Z,Friday,THEFT OF TRUCK OVER $5000,AUTO THEFT,223XX,CALLAGHAN AVE,MAPLE RIDGE,"Aug 10, 2018",8:28 am,49.2135008,-122.6034992
528330,5452040,1134652,2018-18627,2018,2018-08-10T00:00:00.000Z,2018-08-10T10:51:00.000Z,Friday,MISCHIEF $5000 OR UNDER,MISCHIEF TO PROPERTY,220XX,DEWDNEY TRUNK RD,MAPLE RIDGE,"Aug 10, 2018",10:51 am,49.2199546,-122.4428793
529610,5451650,1134653,2018-18633,2018,2018-08-10T00:00:00.000Z,2018-08-10T11:46:00.000Z,Friday,THEFT-OTHER UNDER $5000,OTHER THEFT U/5000,227XX,LOUGHEED HWY,MAPLE RIDGE,"Aug 10, 2018",11:46 am,49.1992265,-122.5775593
